subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Myrmicinae,Acanthomyrmex.ferox,0.884615385,1.178571429,1.647887324,2.112676056,53,NA,2
Dorylinae,Acanthostichus.kirbyi,1.103448,2.068966,0.739130435,1.772727273,NA,NA,NA
Myrmicinae,Acromyrmex.disciger,1.542857143,2.454545455,1.53125,2.644067797,NA,NA,NA
Myrmicinae,Acromyrmex.versicolor,1.695652174,2.842105263,1.483333333,3.037735849,10000,NA,NA
Myrmicinae,Acromyrmex.volcanus,2.058823529,3.421052632,2.48,4.5,16300,NA,NA
Formicinae,Acropyga.epedana,0.409090909,0.592857143,0.484210526,0.82967033,NA,NA,NA
Formicinae,Acropyga.goeldii,0.642857143,0.972222222,0.645833333,1.047169811,NA,NA,NA
Formicinae,Acropyga.myops,0.716216216,1.013157895,0.817307692,1.163461538,NA,NA,NA
Formicinae,Acropyga.panamensis,0.514285714,0.777777778,0.4875,1,NA,NA,NA
Myrmicinae,Adelomyrmex.laevigatus,0.5375,0.833333333,0.452631579,0.747368421,NA,NA,NA
Myrmicinae,Adelomyrmex.paratristani,0.4375,0.925,0.547619048,0.818897638,NA,NA,NA
Myrmicinae,Adelomyrmex.silvestrii,0.37254902,0.617647059,0.376923077,0.531496063,NA,NA,NA
Myrmicinae,Adelomyrmex.tristani,0.423076923,0.5875,0.506756757,0.797297297,NA,NA,NA
Amblyoponinae,Adetomyrma.goblin,0.545454545,0.784615385,0.438596491,0.993055556,NA,NA,NA
Myrmicinae,Allomerus.octoarticulatus,1.078947368,2.055555556,1.120879121,2.117647059,116,1.1,1
Amblyoponinae,Amblyopone.aberrans,0.98,1.935,1.107142857,2.092592593,NA,NA,NA
Amblyoponinae,Amblyopone.clarki,1,2.046511628,1.160714286,2.666666667,NA,NA,NA
Ponerinae,Anochetus.bequaerti,0.882352941,1.923076923,0.75,1.981818182,84,NA,1
Ponerinae,Anochetus.bytinskii,1.111111111,2,0.683333333,1.965517241,NA,NA,NA
